"2009, 03, 05",BUY,HIG,100
"2009, 03, 12",SELL,HIG,100
"2009, 02, 10",BUY,HST,100
"2009, 02, 18",SELL,HST,100
"2009, 04, 07",BUY,HST,100
"2009, 04, 15",SELL,HST,100
"2009, 03, 03",BUY,IP,100
"2009, 03, 10",SELL,IP,100
"2008, 10, 17",BUY,IPG,100
"2008, 10, 24",SELL,IPG,100
"2008, 10, 21",BUY,IPG,100
"2008, 10, 28",SELL,IPG,100
"2008, 10, 29",BUY,IPG,100
"2008, 11, 05",SELL,IPG,100
"2008, 11, 06",BUY,IPG,100
"2008, 11, 13",SELL,IPG,100
"2009, 07, 02",BUY,IPG,100
"2009, 07, 10",SELL,IPG,100
"2009, 02, 23",BUY,JBL,100
"2009, 03, 02",SELL,JBL,100
"2008, 11, 06",BUY,JDSU,100
"2008, 11, 13",SELL,JDSU,100
"2009, 01, 07",BUY,JDSU,100
"2009, 01, 14",SELL,JDSU,100
"2009, 04, 27",BUY,JDSU,100
"2009, 05, 04",SELL,JDSU,100
"2009, 04, 30",BUY,JDSU,100
"2009, 05, 07",SELL,JDSU,100
"2009, 05, 07",BUY,JDSU,100
"2009, 05, 14",SELL,JDSU,100
"2009, 05, 11",BUY,JDSU,100
"2009, 05, 18",SELL,JDSU,100
"2009, 07, 07",BUY,JDSU,100
"2009, 07, 14",SELL,JDSU,100
"2009, 05, 27",BUY,KEY,100
"2009, 06, 03",SELL,KEY,100
"2009, 06, 01",BUY,KEY,100
"2009, 06, 08",SELL,KEY,100
"2009, 07, 21",BUY,KEY,100
"2009, 07, 28",SELL,KEY,100
"2008, 11, 19",BUY,LEN,100
"2008, 11, 26",SELL,LEN,100
"2008, 02, 06",BUY,LSI,100
"2008, 02, 13",SELL,LSI,100
"2008, 02, 19",BUY,LSI,100
"2008, 02, 26",SELL,LSI,100
"2008, 03, 07",BUY,LSI,100
"2008, 03, 14",SELL,LSI,100
"2008, 03, 14",BUY,LSI,100
"2008, 03, 24",SELL,LSI,100
"2008, 03, 19",BUY,LSI,100
"2008, 03, 27",SELL,LSI,100
"2008, 03, 27",BUY,LSI,100
"2008, 04, 03",SELL,LSI,100
"2008, 04, 17",BUY,LSI,100
"2008, 04, 24",SELL,LSI,100
"2008, 04, 21",BUY,LSI,100
"2008, 04, 28",SELL,LSI,100
"2008, 10, 06",BUY,LSI,100
"2008, 10, 13",SELL,LSI,100
"2009, 08, 11",BUY,LSI,100
"2009, 08, 18",SELL,LSI,100
"2009, 08, 17",BUY,LSI,100
"2009, 08, 24",SELL,LSI,100
"2009, 08, 20",BUY,LSI,100
"2009, 08, 27",SELL,LSI,100
"2009, 09, 02",BUY,LSI,100
"2009, 09, 10",SELL,LSI,100
"2009, 10, 28",BUY,LSI,100
