,FinalValue
2008-12-03,50636.0
2008-12-04,50309.0
2008-12-05,50666.0
2008-12-08,50943.0
2008-12-09,50927.0
2008-12-10,51057.0
2008-12-11,50877.0
2008-12-12,50867.0
2008-12-15,50714.0
2008-12-16,51487.0
2008-12-17,51377.0
2008-12-18,51355.0
2008-12-19,51328.0
2008-12-22,50949.0
2008-12-23,50809.0
2008-12-24,50816.0
2008-12-26,50848.0
2008-12-29,50886.0
2008-12-30,51086.0
2008-12-31,51130.0
2009-01-02,51130.0
2009-01-05,51130.0
2009-01-06,51177.0
2009-01-07,51163.0
2009-01-08,51206.0
2009-01-09,51170.0
2009-01-12,50893.0
2009-01-13,50836.0
2009-01-14,50274.0
2009-01-15,50289.0
2009-01-16,50514.0
2009-01-20,49558.0
2009-01-21,50286.0
2009-01-22,49912.0
2009-01-23,50205.0
2009-01-26,50263.0
2009-01-27,50288.0
2009-01-28,50609.0
2009-01-29,50512.0
2009-01-30,50161.0
2009-02-02,49927.0
2009-02-03,50073.0
2009-02-04,49922.0
2009-02-05,50059.0
2009-02-06,50482.0
2009-02-09,50486.0
2009-02-10,49912.0
2009-02-11,50276.0
2009-02-12,50155.0
2009-02-13,49948.0
2009-02-17,49222.0
2009-02-18,49219.0
2009-02-19,49065.0
2009-02-20,49012.0
2009-02-23,48344.0
2009-02-24,50123.0
2009-02-25,50072.0
2009-02-26,50503.0
2009-02-27,49836.0
2009-03-02,49021.0
2009-03-03,48615.0
2009-03-04,49001.0
2009-03-05,47768.0
2009-03-06,47547.0
2009-03-09,47991.0
2009-03-10,50477.0
2009-03-11,51054.0
2009-03-12,52757.0
2009-03-13,52880.0
2009-03-16,52827.0
2009-03-17,52934.0
2009-03-18,53080.0
2009-03-19,52986.0
2009-03-20,52887.0
2009-03-23,53759.0
2009-03-24,53517.0
2009-03-25,53563.0
2009-03-26,53841.0
2009-03-27,53714.0
2009-03-30,53536.0
2009-03-31,53557.0
2009-04-01,53753.0
2009-04-02,54163.0
2009-04-03,54892.0
2009-04-06,54722.0
2009-04-07,54600.0
2009-04-08,54723.0
2009-04-09,55627.0
2009-04-13,55837.0
2009-04-14,55471.0
2009-04-15,55888.0
2009-04-16,56075.0
2009-04-17,56179.0
2009-04-20,55823.0
2009-04-21,56818.0
2009-04-22,56707.0
2009-04-23,56786.0
2009-04-24,57007.0
2009-04-27,56827.0
2009-04-28,56697.0
2009-04-29,57336.0
2009-04-30,57298.0
2009-05-01,57323.0
2009-05-04,57799.0
2009-05-05,57835.0
2009-05-06,57832.0
2009-05-07,57766.0
2009-05-08,57850.0
2009-05-11,57763.0
2009-05-12,57493.0
2009-05-13,56878.0
2009-05-14,57133.0
2009-05-15,57085.0
2009-05-18,57631.0
2009-05-19,57590.0
2009-05-20,57521.0
2009-05-21,57452.0
2009-05-22,57464.0
2009-05-26,57670.0
2009-05-27,57470.0
2009-05-28,57608.0
2009-05-29,57654.0
2009-06-01,57691.0
2009-06-02,57682.0
2009-06-03,57618.0
2009-06-04,57737.0
2009-06-05,57824.0
2009-06-08,57823.0
2009-06-09,57911.0
2009-06-10,58013.0
2009-06-11,58044.0
2009-06-12,58054.0
2009-06-15,58031.0
2009-06-16,57943.0
2009-06-17,57845.0
2009-06-18,57854.0
2009-06-19,57887.0
2009-06-22,57486.0
2009-06-23,57602.0
2009-06-24,57702.0
2009-06-25,57799.0
2009-06-26,57777.0
2009-06-29,57858.0
2009-06-30,57819.0
2009-07-01,57819.0
2009-07-02,57753.0
2009-07-06,57765.0
2009-07-07,57654.0
2009-07-08,57587.0
2009-07-09,57639.0
2009-07-10,57882.0
2009-07-13,58220.0
2009-07-14,58256.0
2009-07-15,58248.0
2009-07-16,58124.0
2009-07-17,58124.0
2009-07-20,58124.0
2009-07-21,58124.0
2009-07-22,58177.0
2009-07-23,58253.0
2009-07-24,58249.0
2009-07-27,58279.0
2009-07-28,58275.0
2009-07-29,58275.0
2009-07-30,58374.0
2009-07-31,58411.0
2009-08-03,58490.0
2009-08-04,58492.0
2009-08-05,58550.0
2009-08-06,58494.0
2009-08-07,58588.0
2009-08-10,58585.0
2009-08-11,58553.0
2009-08-12,58626.0
2009-08-13,58607.0
2009-08-14,58607.0
2009-08-17,58556.0
2009-08-18,58675.0
2009-08-19,58682.0
2009-08-20,58777.0
2009-08-21,58978.0
2009-08-24,58951.0
2009-08-25,58951.0
2009-08-26,58951.0
2009-08-27,58951.0
2009-08-28,58951.0
2009-08-31,58951.0
2009-09-01,58892.0
2009-09-02,58857.0
2009-09-03,58974.0
2009-09-04,59043.0
2009-09-08,59142.0
2009-09-09,59252.0
2009-09-10,59241.0
2009-09-11,59241.0
2009-09-14,59248.0
2009-09-15,59291.0
2009-09-16,59297.0
2009-09-17,59277.0
2009-09-18,59286.0
2009-09-21,59286.0
2009-09-22,59318.0
2009-09-23,59311.0
2009-09-24,59186.0
2009-09-25,59161.0
2009-09-28,59273.0
2009-09-29,59437.0
2009-09-30,59492.0
2009-10-01,59356.0
2009-10-02,59336.0
2009-10-05,59377.0
2009-10-06,59420.0
2009-10-07,59464.0
2009-10-08,59462.0
2009-10-09,59466.0
2009-10-12,59437.0
2009-10-13,59431.0
2009-10-14,59443.0
2009-10-15,59447.0
2009-10-16,59418.0
2009-10-19,59443.0
2009-10-20,59362.0
2009-10-21,59203.0
2009-10-22,59403.0
2009-10-23,59265.0
2009-10-26,59136.0
2009-10-27,58928.0
2009-10-28,58566.0
2009-10-29,58978.0
2009-10-30,58833.0
2009-11-02,58793.0
2009-11-03,58955.0
2009-11-04,58823.0
2009-11-05,58933.0
2009-11-06,58879.0
2009-11-09,59110.0
2009-11-10,59100.0
2009-11-11,59126.0
2009-11-12,59125.0
2009-11-13,59118.0
2009-11-16,59138.0
2009-11-17,59118.0
2009-11-18,59160.0
2009-11-19,59139.0
2009-11-20,59107.0
2009-11-23,59140.0
2009-11-24,59102.0
2009-11-25,59122.0
2009-11-27,58987.0
2009-11-30,59077.0
2009-12-01,59138.0
2009-12-02,59211.0
2009-12-03,59174.0
2009-12-04,59257.0
2009-12-07,59415.0
2009-12-08,59476.0
2009-12-09,59517.0
2009-12-10,59527.0
2009-12-11,59560.0
2009-12-14,59645.0
2009-12-15,59633.0
2009-12-16,59662.0
2009-12-17,59651.0
2009-12-18,59704.0
2009-12-21,59759.0
2009-12-22,59801.0
2009-12-23,59801.0
2009-12-24,59830.0
2009-12-28,59805.0
2009-12-29,59807.0
2009-12-30,59789.0
